ticker,total_years,avg_net_income,profit_consistency_ratio,net_income_volatility,income_growth,quality_score,stability_score,growth_score,allocation_score,portfolio_decision
HUBS,5,-96530102.88,0,38891908.39,-102707440.6,5,2,5,4.1,Strong Allocation
MIRM,5,-105920876.2,0,40683802.36,-102959370.5,5,2,5,4.1,Strong Allocation
SAVA,5,-43905340.08,0,42690457.03,-97313170.1,5,2,5,4.1,Strong Allocation
CMPS,5,-72442541.52,0,36078951.96,-95805518.9,5,2,5,4.1,Strong Allocation
CCCC,5,-86080075.18,0,39784666.77,-95909937.7,5,2,5,4.1,Strong Allocation
KURA,5,-115211545.8,0,38991545.95,-97422158.2,5,2,5,4.1,Strong Allocation
NKTX,5,-86501295.62,0,38394524.43,-97662850,5,2,5,4.1,Strong Allocation
OM,5,-129611960.5,0,38787989.19,-99099585.9,5,2,5,4.1,Strong Allocation
APLT,5,-91087021.16,0,28848415.87,-78759184.1,5,2,5,4.1,Strong Allocation
BRP,5,-36861287.36,0,31283169.88,-79238557.1,5,2,5,4.1,Strong Allocation
ETNB,5,-88141538.82,0,35557916.59,-81987866.1,5,2,5,4.1,Strong Allocation
DMTK,5,-69289956.44,0,39570162.86,-80474297.9,5,2,5,4.1,Strong Allocation
AUTL,5,-156595409.4,0,33512215.95,-84400228,5,2,5,4.1,Strong Allocation
MRNS,5,-74471907.84,0,43469347.18,-83795008,5,2,5,4.1,Strong Allocation
CLDX,5,-86766530.28,0,38995950.96,-91631263.6,5,2,5,4.1,Strong Allocation
PSNL,5,-71501071.86,0,39436289.66,-87300943.4,5,2,5,4.1,Strong Allocation
PRLD,5,-85775793.16,0,40192838.71,-89855096.8,5,2,5,4.1,Strong Allocation
IMNM,5,-39087497.6,0,37317869.02,-92799560.9,5,2,5,4.1,Strong Allocation
NGM,5,-113122936.5,0,43085159.06,-94371699.2,5,2,5,4.1,Strong Allocation
SRAC,5,-69920407.54,0.4,157695742.8,-71340586.8,4,4,4,4,Strong Allocation
GDRX,5,-56160311.2,0.2,132908701,-76656453.9,4,4,4,4,Strong Allocation
